app;method;trace;source
com.aws.android;java.net.Socket.connect;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.internal.Platform,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.google.firebase.crashlytics.internal.network.HttpGetRequest,com.google.firebase.crashlytics.internal.settings.network.DefaultSettingsSpiCall,com.google.firebase.crashlytics.internal.settings.SettingsController$1,com.google.firebase.crashlytics.internal.settings.SettingsController$1,com.google.android.gms.tasks.zzo,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,com.google.firebase.crashlytics.internal.common.ExecutorUtils$1$1,com.google.firebase.crashlytics.internal.common.BackgroundPriorityRunnable,java.lang.Thread;192.168.0.113:41122
com.aws.android;java.net.Socket.getOutputStream;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.okio.Okio,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.google.firebase.crashlytics.internal.network.HttpGetRequest,com.google.firebase.crashlytics.internal.settings.network.DefaultSettingsSpiCall,com.google.firebase.crashlytics.internal.settings.SettingsController$1,com.google.firebase.crashlytics.internal.settings.SettingsController$1,com.google.android.gms.tasks.zzo,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,com.google.firebase.crashlytics.internal.common.ExecutorUtils$1$1,com.google.firebase.crashlytics.internal.common.BackgroundPriorityRunnable,java.lang.Thread;192.168.0.113:41122
com.aws.android;java.net.Socket.connect;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.internal.Platform,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.taboola.lightnetwork.protocols.http.HttpRequest,com.taboola.lightnetwork.protocols.http.HttpRequest,com.taboola.lightnetwork.protocols.http.HttpRequest$1,java.lang.Thread;192.168.0.113:41124
com.aws.android;java.net.Socket.getOutputStream;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.okio.Okio,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.taboola.lightnetwork.protocols.http.HttpRequest,com.taboola.lightnetwork.protocols.http.HttpRequest,com.taboola.lightnetwork.protocols.http.HttpRequest$1,java.lang.Thread;192.168.0.113:41124
com.aws.android;java.net.Socket.connect;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,okhttp3.internal.platform.AndroidPlatform,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.RealCall,okhttp3.internal.connection.ConnectInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.cache.CacheInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.http.BridgeInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.http.RetryAndFollowUpInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.MyInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.connection.RealCall,okhttp3.internal.connection.RealCall$AsyncCall,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;192.168.0.113:41126
com.aws.android;java.net.Socket.getOutputStream;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,okio.Okio__JvmOkioKt,okio.Okio,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.RealCall,okhttp3.internal.connection.ConnectInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.cache.CacheInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.http.BridgeInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.http.RetryAndFollowUpInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.MyInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.connection.RealCall,okhttp3.internal.connection.RealCall$AsyncCall,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;192.168.0.113:41126
com.aws.android;java.net.Socket.connect;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.internal.Platform,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.kochava.core.network.base.internal.NetworkBaseRequest,com.kochava.core.network.internal.NetworkRequest,com.kochava.core.network.internal.NetworkRequest,com.kochava.tracker.payload.internal.Payload,com.kochava.tracker.init.internal.JobInit,com.kochava.core.job.internal.Job,com.kochava.core.task.action.internal.TaskAction,com.kochava.core.task.internal.Task$e,com.kochava.core.task.manager.internal.TaskManager$a,java.util.concurrent.Executors$RunnableAdapter,java.util.concurrent.FutureTask,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;192.168.0.113:41128
com.aws.android;java.net.Socket.getOutputStream;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.okio.Okio,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.kochava.core.network.base.internal.NetworkBaseRequest,com.kochava.core.network.internal.NetworkRequest,com.kochava.core.network.internal.NetworkRequest,com.kochava.tracker.payload.internal.Payload,com.kochava.tracker.init.internal.JobInit,com.kochava.core.job.internal.Job,com.kochava.core.task.action.internal.TaskAction,com.kochava.core.task.internal.Task$e,com.kochava.core.task.manager.internal.TaskManager$a,java.util.concurrent.Executors$RunnableAdapter,java.util.concurrent.FutureTask,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;192.168.0.113:41128
com.aws.android;java.net.Socket.connect;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.internal.Platform,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.apptentive.android.sdk.network.HttpRequest,com.apptentive.android.sdk.network.HttpRequest,com.apptentive.android.sdk.network.HttpRequestManager$1,com.apptentive.android.sdk.util.threading.DispatchTask,java.util.concurrent.Executors$RunnableAdapter,java.util.concurrent.FutureTask,java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;192.168.0.113:41130
com.aws.android;java.net.Socket.getOutputStream;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,com.android.okhttp.okio.Okio,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.io.RealConnection,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.StreamAllocation,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.http.HttpEngine,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.HttpURLConnectionImpl,com.android.okhttp.internal.huc.DelegatingHttpsURLConnection,com.android.okhttp.internal.huc.HttpsURLConnectionImpl,com.apptentive.android.sdk.network.HttpRequest,com.apptentive.android.sdk.network.HttpRequest,com.apptentive.android.sdk.network.HttpRequestManager$1,com.apptentive.android.sdk.util.threading.DispatchTask,java.util.concurrent.Executors$RunnableAdapter,java.util.concurrent.FutureTask,java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;192.168.0.113:41130
com.aws.android;java.net.Socket.connect;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,okhttp3.internal.platform.AndroidPlatform,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.RealCall,okhttp3.internal.connection.ConnectInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.cache.CacheInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.http.BridgeInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.http.RetryAndFollowUpInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.MyInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.connection.RealCall,okhttp3.internal.connection.RealCall,retrofit2.OkHttpCall,com.jakewharton.retrofit2.adapter.rxjava2.CallObservable,io.reactivex.Observable,com.jakewharton.retrofit2.adapter.rxjava2.BodyObservable,io.reactivex.Observable,io.reactivex.internal.operators.observable.ObservableSubscribeOn$SubscribeTask,io.reactivex.Scheduler$DisposeTask,io.reactivex.internal.schedulers.ScheduledRunnable,io.reactivex.internal.schedulers.ScheduledRunnable,java.util.concurrent.FutureTask,java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;192.168.0.113:41132
com.aws.android;java.net.Socket.getOutputStream;dalvik.system.VMStack,java.lang.Thread,java.net.Socket,okio.Okio__JvmOkioKt,okio.Okio,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.RealConnection,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.ExchangeFinder,okhttp3.internal.connection.RealCall,okhttp3.internal.connection.ConnectInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.cache.CacheInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.http.BridgeInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.http.RetryAndFollowUpInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.MyInterceptor,okhttp3.internal.http.RealInterceptorChain,okhttp3.internal.connection.RealCall,okhttp3.internal.connection.RealCall,retrofit2.OkHttpCall,com.jakewharton.retrofit2.adapter.rxjava2.CallObservable,io.reactivex.Observable,com.jakewharton.retrofit2.adapter.rxjava2.BodyObservable,io.reactivex.Observable,io.reactivex.internal.operators.observable.ObservableSubscribeOn$SubscribeTask,io.reactivex.Scheduler$DisposeTask,io.reactivex.internal.schedulers.ScheduledRunnable,io.reactivex.internal.schedulers.ScheduledRunnable,java.util.concurrent.FutureTask,java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor$Worker,java.lang.Thread;192.168.0.113:41132
