App;Tool;Method;Third_Parties;Loc_Addr;Serv_Addr;URL;Error
Mozilla/5.0 (Linux- Android 9- Redmi 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.74 Mobile Safari/537.36;MITMPROXY;Request;N/A;192.168.0.113:41110;216.58.215.163:443;https://beacons.gvt2.com/domai...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41110;216.58.215.163:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41120;;http://www.youtube.com/;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41120;142.250.200.78:80;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41122;142.250.200.99:443;https://firebase-settings.cras...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41124;151.101.65.44:443;https://cdn.taboola.com/mobile...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41124;151.101.65.44:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41122;142.250.200.99:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41128;34.95.120.195:443;https://int.akisinn.site/track...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41128;34.95.120.195:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41126;54.165.198.139:443;https://and-loc.pulse.weatherb...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41126;54.165.198.139:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41130;44.199.96.191:443;https://api.apptentive.com/con...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41136;44.199.96.191:443;https://api.apptentive.com/con...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41130;44.199.96.191:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41136;44.199.96.191:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41134;44.199.96.191:443;https://api.apptentive.com/con...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41142;104.18.1.5:443;https://api.appodealx.com/auct...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41134;44.199.96.191:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41132;52.202.199.88:443;https://and-legal.pulse.weathe...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41142;104.18.1.5:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41130;44.199.96.191:443;https://api.apptentive.com/con...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41132;52.202.199.88:443;-;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;MITMPROXY;Request;N/A;192.168.0.113:41140;23.20.178.58:443;https://and-lx.pulse.weatherbu...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41130;44.199.96.191:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41140;23.20.178.58:443;-;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41150;54.83.242.74:443;https://and-ads.pulse.weatherb...;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;MITMPROXY;Request;N/A;192.168.0.113:41148;34.206.49.43:443;https://and-push.pulse.weather...;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41150;54.83.242.74:443;-;-
N/A;MITMPROXY;Response;N/A;192.168.0.113:41148;34.206.49.43:443;-;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;MITMPROXY;Request;N/A;192.168.0.113:41160;52.21.237.60:443;https://weatherbug.adsbynimbus...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41130;44.199.96.191:443;https://api.apptentive.com/con...;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;MITMPROXY;Request;N/A;192.168.0.113:41160;52.21.237.60:443;https://weatherbug.adsbynimbus...;-
Mozilla/5.0 (Linux- Android 4.0.4- Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19;MITMPROXY;Request;N/A;192.168.0.113:41146;54.84.185.253:443;https://and-cmpn.pulse.weather...;-
N/A;MITMPROXY;Request;N/A;192.168.0.113:41164;54.83.242.74:443;https://and-ads.pulse.weatherb...;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;MITMPROXY;Request;N/A;192.168.0.113:41160;52.21.237.60:443;https://weatherbug.adsbynimbus...;-
Mozilla/5.0 (Linux- Android 9- Redmi 8 Build/PKQ1.190319.001- wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36;MITMPROXY;Request;N/A;192.168.0.113:41160;52.21.237.60:443;https://weatherbug.adsbynimbus...;-
